,file,label,block_1_mean,block_2_mean,block_3_mean,block_4_mean,block_5_mean,block_6_mean,block_7_mean,block_8_mean,block_9_mean,block_10_mean,block_11_mean,block_12_mean,block_13_mean,block_14_mean,block_15_mean,block_16_mean,block_17_mean,block_18_mean,block_19_mean,block_20_mean,block_21_mean,block_22_mean,block_23_mean,block_24_mean,block_25_mean,block_26_mean,block_27_mean,block_28_mean,block_29_mean,block_30_mean,block_31_mean,block_32_mean,block_33_mean,block_34_mean,block_35_mean,block_36_mean,block_37_mean,block_38_mean,block_39_mean,block_40_mean,block_41_mean,block_42_mean,block_43_mean,block_44_mean,block_45_mean,block_46_mean,block_47_mean,block_48_mean,block_49_mean,block_50_mean,block_51_mean,block_52_mean,block_53_mean,block_54_mean,block_55_mean,block_56_mean,block_57_mean,block_58_mean,block_59_mean,block_60_mean,block_61_mean,block_62_mean,block_63_mean,block_64_mean,centered_block_1_mean,centered_block_2_mean,centered_block_3_mean,centered_block_4_mean,centered_block_5_mean,centered_block_6_mean,centered_block_7_mean,centered_block_8_mean,centered_block_9_mean,centered_block_10_mean
0,I004_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.832528,75.817941,0.0,0.0,106.365749,112.064465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.196787,102.515627,0.0,0.0,77.342762,77.655834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.896625,874.121458984375,396.42294386574076,182.07805004882812,93.223961625,53.949051866319444,33.9737469478863,22.759756256103515,15.984904256687242,11.652995203125
1,I004_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482789,12.561032,8.472529,0.137866,0.573878,17.326985,9.4657,0.200509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006614,5.09718,13.359104,0.314686,0.003179,5.618558,11.532871,0.33485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.9265,63.0708515625,27.076909722222222,15.014121337890625,10.429244875,6.184051649305555,3.8943299016034985,2.6088967895507813,1.8323115997942387,1.33575515625
2,I004_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.138809,30.541434,0.0,0.0,19.242039,22.968331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.920263,29.688756,0.0,0.0,25.542352,29.638381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.409515625,361.976015625,124.23632233796296,52.41219848632812,26.835045625,15.52954029224537,9.779535577623907,6.551524810791015,4.601345271776406,3.354380703125
3,I005_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.699463,14.971377,1.010457,0.0,1.239164,12.424301,3.183751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41093,6.592336,4.289005,0.0,0.156074,7.735057,22.003726,1.721119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.778734375,61.116291015625,26.37210590277778,14.46024853515625,9.02625125,5.673955439814815,3.573103134110787,2.393699951171875,1.6811719821673525,1.225574375
4,I005_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.519029,102.472957,0.0,0.0,93.061363,78.937714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.754802,86.318557,0.0,0.0,116.346307,93.09687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.842140625,877.385380859375,394.4443553240741,183.2293942871094,93.813449875,54.29019089988426,34.18857502733236,22.903674285888673,16.085982488854594,11.726681234375
5,I005_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.280665,28.322313,0.0,0.0,28.289566,20.115782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.945912,26.967756,0.0,0.0,28.338172,19.458532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.675609375,361.873025390625,124.83720949074075,52.66569775390625,26.96483725,15.604651186342593,9.82683573250729,6.583212219238281,4.623600351508916,3.37060465625
6,I006_1,2.0,0.0,0.0,0.0,0.0,0.169351,38.932188,67.564482,1.892961,0.555603,126.581973,120.664155,4.540313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.196254,129.839989,125.468924,0.056287,2.513987,87.982897,90.482989,2.054043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39821,120.26181,120.023676,0.0,3.605176,87.54025,91.217319,0.580964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.633753,23.533884,33.742809,0.0,0.844604,23.024743,26.771593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4532890625,106.60223175,85.59052958622685,61.25524722120991,41.03623007202148,28.821055962791494,21.010549796875
7,I006_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68228,7.05207,0.0,0.0,8.723772,23.283275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.709945,10.59105,0.0,0.0,9.835177,28.211358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.90375,124.7366015625,66.21008449074074,32.56804077148438,16.886115875,9.772057798032407,6.1538323159621,4.122586883544922,2.8954245327503427,2.110764484375
8,I006_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.668191,5.933733,0.0,0.0,58.601751,32.309736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.538412,14.682886,0.0,0.0,68.722204,77.669233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.915234375,541.23321484375,236.08297974537038,106.23196923828125,54.39076825,31.476139033564817,19.821708545918366,13.278996154785156,9.326263417352537,6.79884603125
9,I006_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.240447,21.016836,0.0,0.0,8.294765,0.055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859527,19.258019,0.0,0.0,6.270181,0.019541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.298796875,108.884810546875,41.09679398148148,17.3377099609375,8.8769075,5.137099247685185,3.2350245991253646,2.1672137451171873,1.5221034807956104,1.1096134375
10,I007_1,2.0,0.0,0.0,0.0,0.0,0.0,24.922619,60.010692,0.325811,0.0,2.843758,26.678809,0.120739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.203229,84.758576,33.08169,0.000431,7.96388,167.945209,153.64748,1.867655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.872991,0.116388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.692402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.003677734375,61.325238425925924,49.682442138671874,61.92779175,45.50436624710648,28.655810814504374,19.19715451049805,13.482775184327846,9.828943109375
11,I007_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.109538,40.314726,0.0,0.0,16.19813,32.899163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.815462,35.268858,0.0,0.0,13.068615,22.983733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.813296875,397.72947265625,131.7466579861111,55.580621337890626,28.457278125,16.468332248263888,10.370728179664724,6.947577667236328,4.8795058513374485,3.557159765625
12,I007_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331867,0.010023,0.0,1.223342,8.205117,0.105473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615212,37.545727,66.050421,1.200848,0.459883,69.101286,112.021368,0.723879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.053372,80.245636,0.0,0.0,63.712612,96.710916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.203179,14.849283,0.0,0.0,5.230095,6.398511,0.0,0.0,0.0,0.0,0.0,546.84665625,227.94513671875,146.27974594907408,106.49455786132812,73.55516725,46.68824189814815,29.42775373542274,19.714295959472658,13.84598015260631,10.09371953125
13,I007_4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.072272,40.627736,0.0,0.0,22.596681,29.44579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.410667,26.640759,0.0,0.0,7.515756,6.467803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.225921875,329.8726484375,110.9823287037037,46.820669921875,23.972183,13.872791087962963,8.736218294460642,5.852583740234375,4.110456618655693,2.996522875
14,I007_5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.969938,21.818249,0.0,0.0,29.348053,25.723578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.842451,30.27133,0.0,0.0,9.527153,18.836088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.01775,280.05876953125,109.78638657407407,47.689658203125,24.417105,14.130269097222222,8.898361880466473,5.961207275390625,4.186746399176955,3.052138125
15,I007_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.106646,0.0,0.0,0.0,18.981296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.239798,0.797196,0.0,0.0,23.85959,0.895735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.764484375,77.33536328125,33.20764699074074,15.595766845703125,7.985032625,4.620967954282407,2.9099973123177842,1.9494708557128906,1.3691756901577503,0.998129078125
